,0
24, Melissa Santos offers a practical approach to creating a distance metric and validating with business owners that it provides value—providing you with the tools to turn that expert information into numbers you can compare and use to quickly see structures in the data .
25," The new world of data exploration using virtual , augmented , and mixed reality brings powerful new capabilities and challenges for data visualization engineers , designers , and professionals"
26, Brad Sarsfield demonstrates new input and output capabilities of holographic computing in relation to mixed-reality data visualizations with examples that are both visually beautiful and deeply practical .
27," FINRA ingests over 50 billion records of stock market trading data daily , and its examiners , compliance officers , and analysts look at different slices of this data to draw powerful insights on market behavior and to identify anomalies in trading patterns"
28," Janaki Parameswaran and Kishore Ramachandran explain how FINRA technology integrates data feeds from disparate systems to provide analytics and visuals for regulating equities , options , and fixed-income markets ."
29, Data lineage is critical to answering a wide range of questions about how data is being used within an organization
30," Which datasets and table columns are driving key performance indicators ? How is certain privacy-sensitive data being used ? Where do errors or outliers arise , and how do they propagate forward ? Where are inefficient or unnecessary processing steps being taken ? Tracking data lineage is also critical in real-world use cases such as regulatory reporting and compliance ."
31," Which suppliers are most likely to have delivery or quality issues ? Does service , product placement , or price make the biggest difference in customer sentiment ? Finding the answers to these questions in structured data is often straightforward , but can we answer them using the unstructured data ( free text ) in emails , social media , call center transcripts , product reviews , and other sources ?"
32, Visual analysis is changing in the era of GPU clusters
33," Now that scale compute is easier , the bottleneck is mapping data to visualizations and intelligently interacting with them"
34," Using datasets uploaded to Graphistry , Leo Meyerovich provides a glimpse into the emerging workflows for graph and linked event analysis and offers common tricks for success ."
35, Kudu is redefining the big data ecosystem and opening doors to capabilities not available before
36," Comcast is moving in the direction of adopting Kudu with Impala and Spark for several projects , including real-time processing of events from Xfinity devices"
37," Sridhar Alla and Kiran Muglurmath explain how real-time analytics on Comcast Xfinity set-top boxes ( STBs ) help drive several customer-facing and internal data-science-oriented applications and how Comcast uses Kudu to fill the gaps in batch and real-time storage and computation needs , allowing Comcast to process the high-speed data without the elaborate solutions needed till now ."
38," For a long time , a substantial portion of the data processing that companies did ran as big batch jobs—CSV files dumped out of databases , log files collected at the end of the day , etc"
39," But businesses operate in real time , and the software they run is catching up"
40," Rather than processing data only at the end of the day , why not react to it continuously as the data arrives ? This is the emerging world of stream processing ."
41, Moving from batch to streaming involves changing how we think about time
42, Streaming data is neither bounded nor typically well ordered in time
43," However , to make streaming systems useful and deliver on the promise of low-latency results , we often want to know when we have all the data relevant to emitting a correct aggregation"
44," Watermarks provide the foundation for making such decisions , enabling streaming systems to emit timely , correct results when processing out-of-order data ."
45," In a streaming data processing system , where data is generally unbounded , triggers specify when each stage of computation should emit output"
46," With a small language of primitive conditions and multiple ways of combining them , triggers provide the flexibility to tailor a streaming pipeline to a variety of use cases and data sources , enabling a practitioner to achieve an appropriate balance between accuracy , latency , and cost"
47," ( Some conditions under which one may choose to “fire”—aka trigger output—include after the system believes all data for the current window is processed , after at least 1,000 elements have arrived for processing , when the first of trigger A and trigger B fires , or according to trigger A until trigger B fires . )"
48," Time series and event data form the basis for real-time insights about the performance of businesses such as ecommerce , the IoT , and web services , but gaining these insights involves designing a learning system that scales to millions and billions of data streams"
49, Ira Cohen outlines a system that performs real-time machine learning and analytics on streams at massive scale .
50, Modern cars produce data
51, Lots of data
52, And Formula 1 cars produce more than their fair share
53, Ted Dunning presents a demo of how data streaming can be applied to the analytics problems posed by modern motorsports
54," Although he won’t be bringing Formula 1 cars to the talk , Ted demonstrates a high-fidelity , physics-based automotive simulator to produce realistic data from simulated cars running on the Spa-Francorchamps track"
55," As Ted moves data from the cars to the pits to the engineers back at HQ , the result is near real-time visualization and comparison of performance and a great exposition of how to move data using messaging systems like Kafka ."
56," Fifteen years ago , Webvan spectacularly failed to bring grocery delivery online"
57, Speculation has been high that the current wave of on-demand grocery delivery startups will meet similar fates
58, Jeremy Stanley explains why this time the story will be different—data science is the key
59," Innovations in mobile applications have paved the way , but significant investments in algorithms to optimize efficiency will drive positive unit economics ."
60," To anticipate who will succeed and invest wisely , investors spend a lot of time trying to understand the longer-term trends within an industry"
61," In a panel discussion , top-tier VCs look over the horizon and consider the big trends in big data , explaining what they think the field will look like a few years ( or more ) down the road"
62, Join us to hear about the trends that everyone is seeing and areas for investment that they find exciting .
63," Three-quarters of firms tell Forrester they aspire to be data driven , yet less than a third are good at connecting insights to actions that really matter"
64, A new generation of digital competitors does not have this problem and stands poised to steal $ 1.2 trillion from traditional enterprises by 2020
65," Many of them are presenting at Strata , but what does this new breed of competitors have in common beyond using technology like Hadoop and Spark ?"
66, Leading companies that are getting the most out of their data are not focusing on queries and data lakes ; they are actively integrating analytics into their operations with a data-first application development approach
67," Real-time adjustments to improve revenues , reduce costs , or mitigate risk rely on applications that minimize latency on a variety of data sources"
68," Jack Norris reviews best practices for three use cases in ad/media , financial services , and healthcare to show how customers develop , deploy , and dynamically update these applications and how this data-first approach is fundamentally different from traditional applications ."
69, The best data-driven companies constantly utilize data at each function of the business
70," One well-known example , Uber , brought a data-driven approach to the taxi industry , using information about where customers are located , changing its price based on demand , and gathering customer feedback scores to improve customer satisfaction"
71, Today more and more companies are accessing and operationalizing instant data in a similar way
72," Daniel Mintz dives into case studies from three companies—ThredUp , Twilio , and Warby Parker—that use data to generate sustainable competitive advantages in their industries"
73, These companies have three characteristics in common .
74," At the start of the Crimean War in 1853 , Britain’s Royal Navy needed 90 new gunboats ready to fight in the Baltic in just 90 days"
75, Assembling the boats was straightforward
76, The challenge was to build all of the engine sets in time
77," Marine engineer John Penn did an unusual thing : he took a pair of reference engines , disassembled them , and distributed the pieces to the best machine shops across Britain"
78," These workshops—latter-day microservices—each built 90 sets of their allocated parts , which were then assembled into the engines for the new gunboats , ready for battle ."
79, Enterprises that pursue data-driven operations and decisions are approaching the conclusion that graph analysis capabilities will yield critical competitive advantages
80," However , for this impact to be fully realized , the results of any graph analysis must be available , in real time , to operational applications , data scientists , and developers across the enterprise ."
81," While all other industries have embraced the digital era , healthcare seems to be still playing catch-up"
82," In this , Kaiser Permanente is an anomaly"
83, Kaiser Permanente is a leader in healthcare technology—technology has been at center stage in Kaiser Permanente since it first started using computing to improve healthcare results in the 1960s
84," Today , Kaiser Permanente is an integrated health care delivery system with 10 million members and about 200,000 employees ."
85, Billions of Visa cards are used around the world to make payments
86, Each payment transaction has a story
87," Getting payments from point A to point B is complex , and the resulting data Visa captures reflects this"
88," The scale and complexity of that data is a direct manifestation of the number , variety , and complexity of payment transactions processed by the Visa network ."
89," Last year , LinkedIn embarked on an ambitious mission to completely revamp the mobile experience for its members"
90," This would mean a completely new mobile application , reimagined user experiences , and new interaction concepts"
91," As the team evaluated the impact of this big rewrite on the data analytics ecosystem , they observed a few problems ."
92," The world is producing an ever-increasing volume , velocity , and variety of big data"
93," Consumers and businesses are demanding up-to-the-second ( or even millisecond ) analytics on their fast-moving data , in addition to classic batch processing"
94, The Hadoop ecosystem and AWS provide a plethora of tools for solving big data problems
95," But what tools should you use , why , and how ?"
96," Today , Hadoop is deployed on-premises and in the public cloud , with public cloud increasingly becoming more prevalent"
97," The cloud provides some unique abilities , including on-demand infrastructure , cluster elasticity , persisted globally available object storage , and pay-for-use pricing , which enables even more flexible and cost-efficient deployment options for BI and SQL analytic users of Impala but brings in new challenges that need to be carefully considered to achieve optimal outcome ."
98," From data exploration to prototyping to final delivery , anyone engaged in using data science for social good knows that the path from project kickoff to delivery is full of exciting twists and turns"
99," JeanCarlo Bonilla , Susan Sun , and Caitlin Augustin explore how DataKind volunteer teams navigate the road to social impact by automating evidence collection for conservationists and helping expand the reach of mobile surveys so that more voices can be heard ."
100, Every industry has both proven and potential data lake use cases
101," With enterprise data warehouses ( EDWs ) being rendered ever more inefficient when facing new business needs , cloud-based data lakes have been gaining popularity with enterprises looking to cover the technology gap"
102, Cloud data lakes are purpose-built to meet the data management requirements of the evolving enterprise landscape .
103," As the momentum with which big data drives decisions continues to grow , the relevant legal considerations relating to collection and use of such data will also increase and evolve"
104, Understanding the legal frameworks applicable to collection and use of data for certain purposes is key to making compliance-based business decisions and maintaining long-term consumer trust in a brand .
105," With rapid advances in the field of data science and the availability of real-time streaming data , the specter of a data-driven dystopia looms larger than ever"
106," Mainstream media , civil rights advocates , and watchdog groups of all political persuasions are increasingly questioning the legitimacy of proprietary predictive tools that are widely used in areas from law enforcement to healthcare ."
107," How are users meant to interpret the influence of big data and personalization in their targeted experiences ? What signals show how your data is used and how it improves or constrains your experience ? To what degree is this experience based on coarse demographics or the entire data profile of your browsing history ? Sara Watson explains that in order to develop normative opinions to shape policy and practice , users need means to guide their experience—the personalization spectrum ."
108, Enterprises are increasingly demanding real-time analytics and insights
109," Tony Ng offers an overview of Pulsar , an open source real-time streaming system used at eBay , which can scale to millions of events per second with 4GL SQL-like language support"
110," Pulsar provides real-time sessionization , multidimensional metrics aggregation over time windows , and custom stream creation through data enrichment , filtering , and stateful processing"
111," Tony explains how Pulsar integrates Kafka , Kylin , and Druid to provide flexibility and scalability in event and metrics consumption ."
112," The landscape for storing your big data is quite complex , with several competing formats and different implementations of each format"
113, Picking the best data format depends on what kind of data you have and how you plan to use it
114," Depending on your use case , different formats perform very differently"
115," Although you can use a hammer to drive a screw , it isn’t fast or easy to do so"
116, Owen O’Malley outlines the performance differences between formats in different use cases and offers an overview of the advantages and disadvantages of each to help you improve the performance of your applications .
117," When it comes to SQL-on-Hadoop , it is easy to feel overwhelmed with the number of choices available in tools , file formats , schema design , and configurations"
118," However , in reality , making good design choices when you start will help you avoid some of the common pitfalls"
119," Marcel Kornacker and Mostafa Mokhtar simplify the process and cover top performance optimizations for Apache Impala ( incubating ) , from schema design and memory optimization to query tuning ."
120," Most data centers ( and many cloud deployments ) are statically partitioned into siloed clusters dedicated to running individual datacenter-scale applications , including web services , databases , and batch/stream processing"
121," This static partitioning model limits overall cluster utilization , decreases flexibility , and poses operational challenges"
122," There is an increasing need to integrate big data applications like Apache Hadoop and Apache Spark with other data center services like Apache Cassandra or Apache Kafka , ideally colocating the data with the services that need it ."
123," Ever since its creation , HDFS has relied on data replication to shield against most failure scenarios"
124," However , with the explosive growth in data volume , replication is getting quite expensive : the default 3x replication scheme incurs a 200 % overhead in storage space and other resources ( e.g. , network bandwidth when writing the data )"
125, Erasure coding ( EC ) uses far less storage space while still providing the same level of fault tolerance
126," Under typical configurations , EC reduces the storage cost by ~50 % compared with 3x replication ."
127, Several big data graph processing frameworks that have been built to run on large graph datasets have been proposed and are in use at large corporations for applications ranging from social network analysis to machine learning to the PageRank algorithm
128," However , these libraries can also be put to work to study the nature of cancer ."
129, We’ve seen significant progress in infrastructure for using data effectively in the last half-decade
130, But this hasn’t applied to all types of data equally
131," Unstructured text , in particular , has been slower to yield to the kinds of analysis that many businesses are starting to take for granted"
132," Rather than being limited by what we can collect , we are now constrained by the tools , time , and techniques to make good use of it"
133, But we are beginning to gain the ability to do remarkable things with unstructured text data .
134," As healthcare data becomes more digitized , the opportunity to leverage electronic medical records , prescription data , medical billings , hospital , and other healthcare datasets to help improve health outcomes and lower the cost of care for patients in near real time is becoming a possibility"
135," However , processing terabytes and petabytes of de-identified healthcare data requires the application of complex and ever-changing business rules"
136, This impacts the ability to generate near-real-time insights and conduct research studies that could potentially influence how patients are treated .
137, Handling heterogeneous and concurrent query workloads in a multiuser environment is a common use scenario for BI analytics over SQL-on-Hadoop systems
138," Properly deploying a SQL-on-Hadoop cluster that provides the best performance in such an environment requires extensive knowledge of the workloads , overall resource utilization , database table design , software stack configurations , and hardware settings"
139," An improperly planned deployment can lead to an underutilized cluster , wasting company assets or failing to meet performance requirements"
140," In one real-world example , a company deployed an 80-node cluster ; however , their workloads and data volume required less than half of the nodes to meet their performance requirement"
141, This means more than half of the nodes sat doing nothing but waiting to be depreciated
142," In another , a company used more expensive SSDs even though , at the software level , operations were single threaded and bottlenecked by CPU rather than I/O—thus , HDDs might have been a better choice for deployment"
143," Of course , in some scenarios , SSDs might improve the overall query execution time by more than 50 % , so there is really no one-size-fits-all solution ."
144," Running real-time data-intensive applications on Apache Hadoop requires complex architectures to store and query data , typically involving multiple independent systems that are tied together through custom-engineered pipelines"
145," A common pattern is to use a NoSQL engine like Apache HBase for caching and later transformations , the results of which are periodically written to HDFS in one of the popular open columnar file formats as a prerequisite for querying by a SQL engine ."
146," One of the ways to drive enterprise adoption of big data in financial services is to have a central standardized , reusable , transparent , and well-governed library of features ( or metrics ) that will empower data scientists and business analysts across a range of business problems"
147, This is the central idea behind a feature store—a library of documented features for various analyses based on a shared data model that spans a wide variety of data sources resident within a bank’s data lake .
148, Zillow pioneered providing access to unprecedented information about the housing market
149, Long gone are the days when you needed an agent to get comparables and prior sale and listing data
150," Enter Zillow , the nation’s number-one real estate website and mobile app"
151," With more data , data science has enabled more use cases"
152," Jasjeet Thind explores Zillow’s big data platform , discusses some of its core machine-learning algorithms , and outlines best practices for scaling streaming data ingestion and data processing in Spark ."
153, Bas Geerdink offers an overview of the evolution that the Hadoop ecosystem has taken at ING
154," Since 2013 , ING has invested heavily in a central data lake and data management practice"
155, Bas shares historical lessons and best practices for enterprises that are incorporating Hadoop into their infrastructure landscape .
156," Ram Sriharsha reviews major developments in Apache Spark 2.0 and discusses future directions for the project to make Spark faster and easier to use for a wider array of workloads , with an emphasis on API evolution , single-node performance ( Project Tungsten Phase 3 ) , and Structured Streaming ."
157," In the world of distributed computing , Spark has simplified development and opened the doors for many to start writing distributed programs"
158, Folks with little to no distributed coding experience can now write just a couple lines of code that will immediately get hundreds or thousands of machines working on creating business value .
159, Spark’s efficiency and speed can help big data administrators reduce the total cost of ownership ( TCO ) of their existing clusters
160, This is because Spark’s performance advantages allow it to complete processing in drastically shorter batch windows with higher performance per dollar
161, Raj Krishnamurthy offers a detailed walk-through of an alternating least squares-based matrix factorization workload
162," Using this methodology , Raj has been able to improve runtimes by a factor of 2.22 ."
163, Praveen Murugesan explains how Uber leverages Hadoop and Spark as the cornerstones of its data infrastructure
164, Praveen details the current data architecture at Uber and outlines some of the unique challenges with data processing Uber faced as well as its approach to solving some key issues in order to continue to power Uber’s real-time marketplace .
165," Swisscom , the leading mobile service provider in Switzerland , also provides data-driven intelligence through the analysis of the data created by its mobile network"
166," Its Mobility Insights team works to help civil administrators , tourism and marketing professionals , and many others understand the flow of people through their locations of interest"
167," François Garillot outlines the platform , tooling , and choices that help achieve this service and some challenges the team has faced , before exploring in depth the task of understanding the speeds of populations through a path of interest ."
168, Apache Spark has been growing in deployments for the past two years
169," The increasing amount of data being analyzed and processed through the framework is massive , and it continues to push the boundaries of the engine"
170," Drawing on his experiences across 150+ production deployments , Neelesh Srinivas Salian focuses on five common issues observed in a cluster environment setup with Apache Spark ( Core , Streaming , and SQL ) to help you improve the usability and supportability of Apache Spark and avoid such issues in future deployments ."
171," Despite widespread adoption , machine-learning models remain mostly black boxes , making it very difficult to understand the reasons behind a prediction"
172, Such understanding is fundamentally important to assess trust in a model before we take actions based on a prediction or choose to deploy a new ML service
173," Such understanding further provides insights into the model , which can be used to turn an untrustworthy model or prediction into a trustworthy one ."
174, eHarmony has been using machine learning for about eight years
175," During this time , eHarmony has learned a number of lessons about how to implement machine learning at scale that allow it to rapidly address problems accurately"
176, Recently more business units have needed data-driven models
177," Jonathan Morra introduces Aloha , an open source project that allows the modeling group to quickly deploy type-safe accurate models to production , and explores how eHarmony creates models with Apache Spark and how it uses them ."
178, Pinterest is a rapidly expanding product that acts as a catalogue of ideas for over 100 million people
179, Pinterest’s content contains over 1 billion boards curated from over 50 billion pins
180, One of the roles data scientists fill at Pinterest is to understand this rapidly changing user base and content corpus
181, A handy tool for understanding large datasets is to reduce them to smaller datasets via clustering
182, For this application the workflow of a data scientist is to :
183," Predicting which stories will become popular is an invaluable tool for newsrooms , but people access their news using a variety of different platforms and sites , so identifying what stories are likely to be popular is a challenge"
184," Very few studies have addressed the popularity of news articles specifically , although others have looked at predicting the popularity of other types of online content like tweets and videos"
185," The reasons why a particular story becomes popular are varied and might involve contemporariness , writing quality , and other latent factors"
186, Eui-Hong Han and Shuguang Wang explain how the Washington Post predicts what stories on its site will be popular with readers and share the challenges they faced in developing the tool and metrics on how they refined the tool to increase accuracy .
187, Recurrent neural networks ( RNN ) and related models represent the state of the art in language modeling
188," Trained on sufficiently large corpora , RNNs can learn to generate convincing text that obeys rules of syntax and even matches parentheses"
189," What is especially remarkable is that these models can synthesize text from diverse inputs : text in another language ( for translation ) , images and video ( for captioning ) , and scores and categories for creation of personalized product reviews ."
190, Much of the success of deep learning in recent years can be attributed to scale—bigger datasets and more computing power—but scale can quickly become a problem
191," Distributed , asynchronous computing in heterogenous environments is complex , hard to debug , and hard to profile and optimize"
192," Martin Wicke demonstrates how to automate or abstract away such complexity , using TensorFlow as an example"
193," Martin covers the sources of complexity for large-scale machine-learning systems , explains how to mitigate such complexity , and touches upon the future avenues for this work , where , unsurprisingly , machine learning will be used to understand and improve machine learning ."
194," Creating production-ready analytical pipelines can be a messy , error-prone undertaking"
195," In the simplest case , connecting a workflow of heterogeneous components , such as databases , feature enrichment and visualization tools , programming languages , and analytical engines , requires maintaining connections between multiple tools"
196, And each of these tools is subject to its own development cycle
197," In the case of projects involving big data or analytics over real-time streaming data , the difficulties only increase ."
198, Topics include :
199," Every day , analysts at Citi , Standard Chartered Bank ( SCB ) , and Polaris analyze transactions and behaviors for indicators of money laundering , fraud , and human trafficking"
200," The most comprehensive investigation must leverage massive volumes of data from financial institutions , law enforcement and government agencies , social media sites , telecommunication organizations , and enterprises , but it often comes with varied data quality standards or in unusable formats and nonstandard structures"
201," Analysts ability to explore , clean , shape , and integrate the data can’t be slowed down by time-consuming user compute cycles or resource-intensive ETL processes"
202, And the entire flow—from source data to usable information—must be auditable and fully trusted .
203, Trends driving demand for automated machine learning ( AML ) include the growing availability of big data through Hadoop architecture and the shortage of experienced data scientists
204," Successful big data projects require careful consideration of project definition , success criteria , organizational design , and implementation , and executives contribute vitally to this process"
205, Jeremy Achin teaches executives how to identify opportunities to optimize their business using machine learning
206, This means radically reducing time to value the total cycle time from data to predictions and broadening the pool of people who can contribute to machine-learning projects without sacrificing quality
207," Jeremy also introduces DataRobot , AML software that supports and reflects these best practices , and explains how DataRobot interfaces with HDFS , YARN , Apache Spark , and other key components in a Hadoop cluster ."
208," To thrive as a data-driven enterprise , organizations must train their eye for the best opportunities for analytic impact"
209, Creative problem-solving through collaboration enables each individual working with data to utilize their strengths and specialized skills
210," Hypothesis testing for business impact through analytics requires finding ways to share hypotheses as well as the data assets that are used to test assumptions through data tools like data inventories , data catalogs , code repositories , and data visualization tools ."
211, Hadoop platforms can be very effective and efficient at analyzing historical data at scale in minutes or smaller-scale data in near real time
212, Data lakes provide large-scale data processing and storage at low cost but often struggle to deliver real-time analytic response without significant investment in large clusters
213," Technologies like Apache Spark promise to take the Hadoop stack beyond batch , but even they rely on a “microbatch” approach instead of truly streaming in real time"
214," Further , the complexities associated with development and ongoing management of a data lake that aims to deliver real-time analytic response can be costly and overwhelming ."
215, Massively parallel big data platforms are quickly becoming the industry standard for organizations looking to extract greater value from data
216," As architectures have shifted , application development paradigms have also changed to reflect growing needs for agility , scale , robustness , efficiency , and ease of collaboration on these new platforms ."
217," Data is a company’s lifeblood , and more data exists than ever before—in more disparate silos"
218," Getting the insights you need , sifting through data , and answering new questions have all been complex , hairy tasks that only data jocks have been able to do"
219," The entire process is slow and daunting , and businesses are never satisfied with the outcome"
220, Andrew Yeung and Scott Anderson explore new ways to challenge the status quo through automated data blending and smart data discovery across diverse sources to speed insights for business users
221, See and hear about real customer use cases and learn how to reinvent your organization’s analytics capability .
222," When building your data stack , the architecture could be your biggest challenge"
223, Yet it could also be the best predictor for success
224," With so many elements to consider and no proven playbook , where do you begin to assemble best practices for a scalable data architecture ? Ben Sharma offers lessons learned from the field to get you started"
225," If you are concerned with building a data architecture that will serve you now and scale for the future , this is a must-attend session ."
226," Building , running , and governing a data lake and production data applications on Hadoop is often a difficult process filled with slow development cycles and painful operations"
227," Not only are traditional development tools and techniques missing from the Hadoop ecosystem , but mastering data ingestion and data integration , as well as enterprise governance and security , has become a formidable challenge when building big data solutions"
228," The challenge only increases as the Hadoop ecosystem continues to grow , use cases mature , SLAs intensify , and services become customer facing and revenue generating"
229," And while the IT organization owns the task of mitigating these issues , more importantly , it also has an opportunity to enable the business to reduce time to insights and make better decisions faster by providing them with a modern self-service environment for their data ."
230," More and more frequently , owners of Hadoop deployments find themselves facing the challenge of supporting data science ecosystems like Python and R , both adjacent to and within their Hadoop infrastructure"
231," Although these technologies promise powerful data science insights , they can also be complex to manage and deploy"
232," As people build out data science sandboxes and production environments , they discover a number of challenges ranging from basic package management and data lineage to reproducibility and governance of data science artifacts ."
233, The last 10 years have seen Hadoop move from storage cost killer to contender for the next do-or-die platform in financial services
234," Fintech organizations have used Hadoop for building advanced scientific , operational data stores , data warehousing and reporting , consumer application development , data visualization , and real-time processing"
235, But what’s the point at which Hadoop tips from a Swiss-army knife of use cases to a new foundation that rearranges how the financial services marketplace turns data into profit and competitive advantage ? This panel of expert practitioners looks into the near future to see if the inflection point is at hand .
236, The emerging Industrial Internet of Things is giving rise to what is predicted to be a sweeping change that will fundamentally transform industries and reconfigure the technology landscape
237," Sensor data is expected to dwarf the data volumes that defined the first decade of big data , and leading companies will be those that effectively derive value from this next wave of information and opportunity"
238," Yet , the challenges for enterprises remain formidable"
239," The information required to enable breakthrough insights is typically fragmented within the domains of information technology ( IT ) and operational technology ( OT ) , requiring both technical and cultural changes"
240," Further , organizations are realizing that analytics on sensor data is vastly more diverse and complex than analyzing traditional big datasets like weblogs"
241," Cheryl Wiebe explores how leading companies harness the IoT by putting IoT data in context , fostering collaboration between IT and OT and enabling a new breed of scalable analytics ."
242, Two of the hottest topics in analytics are data lakes and big data in the cloud
243," Enterprises like Asurion Services are using Hadoop and Informatica’s big data management solutions to deliver faster , more flexible , and more repeatable big data projects"
244," By adopting a big data management architecture on top of Hadoop , enterprises can quickly and flexibly ingest , cleanse , master , govern , secure , and deliver all types of data on-premises or in the cloud for business data lake initiatives ranging from marketing effectiveness to fraud detection"
245, Viral Shah explains how enterprises like Asurion Services are leveraging big data management solutions to accelerate enterprise data lake initiatives for business value .
246, A study by HPE’s security unit found that 70 percent of popular consumer IoT devices are easily hackable
247, Many of the simplest IoT ( or machine-to-machine ) devices lack adequate processing power and storage to host endpoint security software
248," As a result , attackers can exploit vulnerabilities in consumer devices and mobile applications to gain remote access to internal networks and expose users to man-in-the-middle attacks ."
249," Jonathon Whitton details how PRGX is using Talend and Cloudera to load two million annual client flat files into a Hadoop cluster and perform recovery audit services in order to help clients detect , find , and fix leakage in their procurement and payment processes"
250," Jonathon also explores how PRGX unzips and decrypts transactional data received from customers so it can analyze the data using a joblet in Talend , shaving hours of time off each job ."
251, The trend of deploying Hadoop on virtual infrastructure is rapidly increasing
252," Martin Yip explores the benefits of virtualizing Hadoop through the lens of three real-world examples and walks you through the basics of virtualizing Hadoop , the first step in providing Hadoop on the public or private cloud ."
253, Big data is being thrown around as a silver-bullet solution to enable organizational agility and transformation
254," All your data in one place sounds great on paper , but is it really ? Thomas Place explores the big data journey of the world’s biggest payment processor , which came dangerously close to building a data swamp before pivoting to embrace governance and quality-first patterns"
255," This case study includes patterns , partners , successes , failures , and lessons learned to date and reviews the journey ahead ."
256, Big data and analytics is a team sport empowering companies of all kinds to achieve business outcomes faster and with greater levels of success
257," Dell EMC has integrated all the key components for modern digital transformation , taking you on a big data journey that focuses on analytics , integration , and infrastructure"
258," Its portfolio provides the flexibility to buy or build your analytics ecosystem , and offerings range from servers and data lakes to flexible analytics with a turn-key development platform"
259, Carey James explains how the formation of Dell Technologies and Dell EMC can help you on your data analytics journey and how you can turn actionable insights into new business opportunities .
260," The flux capacitor was the core component that made time travel possible in Back to the Future , processing garbage as a power source"
261," Did you know that you can achieve the same affect in machine learning ? Ingo Mierswa , RapidMiner’s cofounder and CEO , offers a case study on how he took “garbage” data drawn from 250K data scientist RapidMiner users and through machine learning turned it into Wisdom of Crowds , which helps novice and expert data scientists alike accelerate the creation of their predictive models by delivering expert recommendations about what other scientists would do at every step in their predictive analytics process"
262," Ingo covers the most frequently used machine-learning techniques , what data preparation most experts perform before modeling , and how those behaviors have changed over time , along with other interesting patterns ."
263," A major challenge in today’s big data world is getting data into a data lake in a simple , automated way"
264, Many organizations use Python or another language to code their way through these processes
265, But when the number of data sources increases into the hundreds—or often thousands—coding scripts for each source becomes time consuming and extremely difficult to manage and maintain .
266," Defining the challenges , outlining the goals , identifying the use cases , and tracking ROI are always important considerations when building a big data strategy , but what about greater behind-the-scenes challenges like security , consumer privacy , fraud detection , governance , and financial investment ? Each impacts the business and its brand"
267," Mastercard’s Nick Curcuru hosts an interactive fireside chat with Anthony Dina from Dell to explore how the flexibility , scalability , and agility of Hadoop big data solutions allow one of the world’s leading organizations to innovate , enable , and enhance the customer experience while still expanding emerging opportunities"
268, You’ll also have the chance to discuss the most important considerations for driving big data strategies and implementations .
269," As software becomes more free and open , it also is becoming more complex and expensive to operate"
